Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,1,0.717531691,0.08,0,0,0
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,2,1.431468448,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Cheilinus fasciatus,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,0,0,0
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,0,0,0
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.05
Blue lagoon,2,Dome,Fish,1,Lizard Island,Pomacanthus sexstriatus,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,2,Dome,Fish,1,Lizard Island,Lutjanus russellii,Piscivore,0,0,0,1,0.994859891,0.05
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,2,Lizard Island,Plectorhinchus chrysotaenia,Invertivore,0,0,0,1,0.628864899,0.19
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.5,0.05,0,0,0
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.5,0.05,0,0,0
Blue lagoon,2,Dome,Fish,2,Lizard Island,Amblyglyphidodon aureus,Planktivore,0,0,0,1,0.628864899,0.19
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.5,0.05,0,0,0
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,0,0,0,1,0.5,0.05
Blue lagoon,2,Dome,Fish,2,Lizard Island,Lethrinus amboinensis,Piscivore,0,0,0,1,0.5,0.05
Blue lagoon,2,Dome,Fish,3,Lizard Island,Plectorhinchus chrysotaenia,Invertivore,0,0,0,1,0.890339813,0.07
Blue lagoon,2,Dome,Fish,3,Lizard Island,Chrysiptera rollandi,Planktivore,0,0,0,1,0.890339813,0.07
Blue lagoon,2,Dome,Fish,3,Lizard Island,Chrysiptera rollandi,Planktivore,0,0,0,1,0.890339813,0.07
Blue lagoon,2,Dome,Fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,1,0.890339813,0.08
Blue lagoon,1,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,1,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,1,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,2,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,2,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,2,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,Fish,1,Sydney,Platax orbicularis,Piscivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,Fish,2,Sydney,Platax orbicularis,Piscivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.960153625,0.25
Malabar 1 ,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.550964187,0.11
Malabar 1 ,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.541809644,0.05
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.541809644,0.1
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.541809644,0.03
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,1,0.541809644,0.1,0,0,0
Malabar 1 ,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,5,4.05295866,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.2,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,5,4.05295866,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.1,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.2,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.25,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.05
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,3,2.431775196,0.4,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.4,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.3
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.05
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.03
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,1
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.3
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Hypoplectrodes nigroruber,Piscivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Hypoplectrodes nigroruber,Piscivore,1,0.810591732,0.4,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.15,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0
Malabar 2,1,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,2,1.618122977,0.29,0,0,0
Malabar 2,1,Dome,Fish,2,Sydney,Meuschenia trachylepis,Omnivore,0,0,0,1,0.809061489,0.05
Malabar 2,1,Dome,Fish,2,Sydney,Bathytoshia lata ,Piscivore,0,0,0,1,0.809061489,0.1
Malabar 2,1,Dome,Fish,2,Sydney,Meuschenia trachylepis,Omnivore,0,0,0,1,0.809061489,0.37
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,1.422475107,0.1,0,0,0
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,1.422475107,0.05
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,1.422475107,0.1,0,0,0
Malabar 2,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,1,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Parupeneus spilurus,Invertivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Parupeneus spilurus,Invertivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Parupeneus spilurus,Invertivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Parupeneus spilurus,Invertivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,1,1,1
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
Malabar 3,2,Squidpop,Fish,1,Sydney,Atypichthys strigatus,Planktivore,1,1,1,0,0,0
