Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time,total_video_min
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,1,0.716246866,0.08,0,0,0,83.77
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,2,1.431468448,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715734224,0.05,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715734224,0.05,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715734224,0.05,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Cheilinus fasciatus,Invertivore,0,0,0,1,0.715734224,0.06,83.83
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,0,0,0,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,0,0,0,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.05,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Pomacanthus sexstriatus,Invertivore,0,0,0,1,0.994859891,0.06,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Lutjanus russellii,Piscivore,0,0,0,1,0.994859891,0.05,60.31
